category,filename,tv_symbol,name,listing
sme,DECCANTRAN,NSE:DECCANTRAN,Deccan Transcon Leasing Limited,24-Sep-24
sme,ENVIRO,NSE:ENVIRO,Envirotech Systems Limited,24-Sep-24
sme,OSELDEVICE,NSE:OSELDEVICE,Osel Devices Limited,24-Sep-24
sme,EXCELLENT,NSE:EXCELLENT,Excellent Wires and Packaging Limited,19-Sep-24
sme,INNOMET,NSE:INNOMET,Innomet Advanced Materials Limited,18-Sep-24
sme,SPPPOLY,NSE:SPPPOLY,SPP Polymer Limited,17-Sep-24
sme,GAJANAND,NSE:GAJANAND,Gajanand International Limited,16-Sep-24
sme,SHUBHSHREE,NSE:SHUBHSHREE,Shubhshree Biofuels Energy Limited,16-Sep-24
sme,AUSL,NSE:AUSL,Aditya Ultra Steel Limited,16-Sep-24
sme,VIESL,NSE:VIESL,Vision Infra Equipment Solutions Limited,13-Sep-24
sme,MYMUDRA,NSE:MYMUDRA,My Mudra Fincorp Limited,12-Sep-24
sme,NAMOEWASTE,NSE:NAMOEWASTE,Namo eWaste Management Limited,11-Sep-24
sme,JEYYAM,NSE:JEYYAM,Jeyyam Global Foods Limited,09-Sep-24
sme,BOSS,NSE:BOSS,Boss Packaging Solutions Limited,06-Sep-24
sme,AERON,NSE:AERON,Aeron Composite Limited,04-Sep-24
sme,PARAMATRIX,NSE:PARAMATRIX,Paramatrix Technologies Limited,04-Sep-24
sme,JAYBEE,NSE:JAYBEE,Jay Bee Laminations Limited,03-Sep-24
sme,VDEAL,NSE:VDEAL,Vdeal System Limited,03-Sep-24
sme,IPHL,NSE:IPHL,Indian Phosphate Limited,03-Sep-24
sme,IDEALTECHO,NSE:IDEALTECHO,Ideal Technoplast Industries Limited,28-Aug-24
sme,QVCEL,NSE:QVCEL,QVC Exports Limited,28-Aug-24
sme,BRACEPORT,NSE:BRACEPORT,Brace Port Logistics Limited,26-Aug-24
sme,FORCAS,NSE:FORCAS,Forcas Studio Limited,26-Aug-24
sme,BALCO,NSE:BALCO,Solve Plastic Products Limited,21-Aug-24
sme,SUNLITE,NSE:SUNLITE,Sunlite Recycling Industries Limited,20-Aug-24
sme,POSITRON,NSE:POSITRON,Positron Energy Limited,20-Aug-24
sme,AESTHETIK,NSE:AESTHETIK,Aesthetik Engineers Limited,16-Aug-24
sme,PPSL,NSE:PPSL,Picturepost Studios Limited,09-Aug-24
sme,DHARIWAL,NSE:DHARIWAL,Dhariwalcorp Limited,08-Aug-24
sme,UTSSAV,NSE:UTSSAV,Utssav CZ Gold Jewels Limited,07-Aug-24
sme,ASHALOG,NSE:ASHALOG,Ashapura Logistics Limited,06-Aug-24
sme,RAJINDLTD,NSE:RAJINDLTD,Rajputana Industries Limited,06-Aug-24
sme,SSEGL,NSE:SSEGL,Sathlokhar Synergys E&C Global Limited,06-Aug-24
sme,BULKCORP,NSE:BULKCORP,Bulkcorp International Limited,06-Aug-24
sme,SATECH,NSE:SATECH,S A Tech Software India Limited,02-Aug-24
sme,ESPRIT,NSE:ESPRIT,Esprit Stones Limited,02-Aug-24
sme,TROM,NSE:TROM,Trom Industries Limited,01-Aug-24
sme,APRAMEYA,NSE:APRAMEYA,Aprameya Engineering Limited,01-Aug-24
sme,CHETANA,NSE:CHETANA,Chetana Education Limited,31-Jul-24
sme,MIEL,NSE:MIEL,Manglam Infra & Engineering Limited,31-Jul-24
sme,VLINFRA,NSE:VLINFRA,V.L.Infraprojects Limited,30-Jul-24
sme,RNFI,NSE:RNFI,RNFI Services Limited,29-Jul-24
sme,MACOBSTECH,NSE:MACOBSTECH,Macobs Technologies Limited,24-Jul-24
sme,KATARIA,NSE:KATARIA,Kataria Industries Limited,24-Jul-24
sme,TUNWAL,NSE:TUNWAL,Tunwal E-Motors Limited,23-Jul-24
sme,PRIZOR,NSE:PRIZOR,Prizor Viztech Limited,22-Jul-24
sme,SATIPOLY,NSE:SATIPOLY,Sati Poly Plast Limited,22-Jul-24
sme,SAHAJSOLAR,NSE:SAHAJSOLAR,Sahaj Solar Limited,19-Jul-24
sme,EFFWA,NSE:EFFWA,Effwa Infra & Research Limited,12-Jul-24
sme,GGBL,NSE:GGBL,Ganesh Green Bharat Limited,12-Jul-24
sme,DHANSA,NSE:DHANSA,Dhansa Labs Limited,11-Jul-24
sme,NEPHROCARE,NSE:NEPHROCARE,Nephro Care India Limited,05-Jul-24
sme,DTL,NSE:DTL,Diensten Tech Limited,03-Jul-24
sme,AKIKO,NSE:AKIKO,Akiko Global Services Limited,02-Jul-24
sme,DPEL,NSE:DPEL,Divine Power Energy Limited,02-Jul-24
sme,PCCL,NSE:PCCL,Petro Carbon and Chemicals Limited,02-Jul-24
sme,MASON,NSE:MASON,Mason Infratech Limited,01-Jul-24
sme,VISAMAN,NSE:VISAMAN,Visaman Global Sales Limited,01-Jul-24
sme,SYLVANPLY,NSE:SYLVANPLY,Sylvan Plyboard (India) Limited,01-Jul-24
sme,SPCL,NSE:SPCL,Shivalic Power Control Limited,01-Jul-24
sme,MEDIORG,NSE:MEDIORG,Medicamen Organics Limited,28-Jun-24
sme,WINNY,NSE:WINNY,Winny Immigration & Education Services Limited,27-Jun-24
sme,DURLAX,NSE:DURLAX,Durlax Top Surface Limited,26-Jun-24
sme,FALCONTECH,NSE:FALCONTECH,Falcon Technoprojects India Limited,26-Jun-24
sme,GPECO,NSE:GPECO,GP Eco Solutions India Limited,24-Jun-24
sme,TBI,NSE:TBI,TBI Corn Limited,07-Jun-24
sme,AIMTRON,NSE:AIMTRON,Aimtron Electronics Limited,06-Jun-24
sme,ZTECH,NSE:ZTECH,Z-Tech (India) Limited,05-Jun-24
sme,BEACON,NSE:BEACON,Beacon Trusteeship Limited,04-Jun-24
sme,VILAS,NSE:VILAS,Vilas Transcore Limited,03-Jun-24
sme,GSMFOILS,NSE:GSMFOILS,GSM Foils Limited,31-May-24
sme,RULKA,NSE:RULKA,Rulka Electricals Limited,24-May-24
sme,HOACFOODS,NSE:HOACFOODS,Hoac Foods India Limited,24-May-24
sme,QUESTLAB,NSE:QUESTLAB,Quest Laboratories Limited,23-May-24
sme,IEML,NSE:IEML,Indian Emulsifiers Limited,22-May-24
sme,VERITAAS,NSE:VERITAAS,Veritaas Advertising Limited,21-May-24
sme,MANDEEP,NSE:MANDEEP,Mandeep Auto Industries Limited,21-May-24
sme,ABSMARINE,NSE:ABSMARINE,ABS Marine Services Limited,21-May-24
sme,PRLIND,NSE:PRLIND,Premier Roadlines Limited,17-May-24
sme,EMMIL,NSE:EMMIL,Energy Mission Machineries (India) Limited,16-May-24
sme,SILKFLEX,NSE:SILKFLEX,Silkflex Polymers (India) Limited,15-May-24
sme,REFRACTORY,NSE:REFRACTORY,Refractory Shapes Limited,14-May-24
sme,WINSOL,NSE:WINSOL,Winsol Engineers Limited,14-May-24
sme,SLONE,NSE:SLONE,Slone Infosystems Limited,10-May-24
